Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
10.50346562,0.03278182983,2.032323761,9.503886566
10.51349663,0.01826202393,2.010020142,9.495653687
10.52352663,0.01257385254,2.007475433,9.491013336
10.53355763,0.01122665405,2.007325745,9.516610107
10.54358763,0.02844085693,1.992057495,9.507628784
10.55361863,0.009580078125,1.99265625,9.508377228
10.56364962,0.01706451416,1.998793488,9.499395905
10.57367962,0.01407073975,1.96690979,9.499844971
10.58371062,0.005089416504,1.973196716,9.496102753
10.59374162,-0.01077758789,1.979633331,9.498647461
10.60377162,0.005987548828,1.973196716,9.494156799
10.61380262,-0.003891906738,1.981878662,9.487869873
10.62383362,0.001496887207,1.986968079,9.49759964
10.63386362,-0.01047821045,1.964514771,9.501192169
10.64389462,-0.01990859985,1.965113525,9.483678589
10.65392562,-0.01586700439,1.979184265,9.473499756
10.66395562,-0.01930984497,2.008373566,9.521100769
10.67398662,0.001496887207,2.019001465,9.557924194
10.68401662,0.01137634277,2.046544189,9.567953339
10.69404762,0.01945953369,2.052831116,9.590556335
10.70407862,0.04715194702,2.038910065,9.602381744
10.71410862,0.04924758911,2.058668976,9.640402679
10.72413962,0.06197113037,2.050436096,9.641600189
10.73417062,0.09026229858,2.059118042,9.642348633
10.74420062,0.1080752563,2.063159637,9.61809906
10.75423163,0.1448986816,2.055375824,9.645192719
10.76426263,0.1712438965,2.024090881,9.638756104
10.77429263,0.2019300842,2.050136719,9.624385986
10.78432363,0.2258802795,2.021097107,9.593101044
10.79435463,0.2240840149,2.027234344,9.570647736
10.80438462,0.2164498901,1.984872437,9.515262909
10.81441562,0.2204914856,1.986519012,9.551188202
10.82444562,0.2142045593,1.983225861,9.48592392
10.83447662,0.1920506287,1.958527222,9.489815826
10.84450762,0.1595681763,1.957329712,9.462722168
10.85453762,0.1284329224,1.95643158,9.431137848
10.86456862,0.08921447754,1.943408661,9.426347809
10.87459962,0.06990463257,1.936373291,9.403894501
10.88462962,0.04101470947,1.945953369,9.410480804
10.89466062,0.01212478638,1.926044769,9.384285278
10.90469162,0.00419128418,1.924248505,9.3747052
10.91472162,-0.01945953369,1.948348389,9.380842438
10.92475262,-0.03637435913,1.94700119,9.393116913
10.93478262,-0.02769241333,1.94236084,9.413175201
10.94481362,-0.03847000122,1.967059479,9.406139832
10.95484462,-0.06197113037,1.968556366,9.442065125
10.96487462,-0.04011657715,1.996398468,9.505383453
10.97490562,-0.03861968994,2.014211426,9.493707733
10.98493662,-0.04670288086,2.026336212,9.531878357
10.99496663,-0.02664459229,2.035167847,9.565109253
11.00499763,-0.0130229187,2.055974579,9.60642334
11.01502863,-0.01601669312,2.068398743,9.61345871
11.02505863,-0.007334747314,2.085014191,9.631421356
11.03508963,0.005538482666,2.078278198,9.6414505
11.04512062,0.01092727661,2.082170105,9.633816376
11.05515062,0.02200424194,2.082469482,9.648934937
11.06518162,0.03742218018,2.08157135,9.626930695
11.07521162,0.01541793823,2.073488159,9.619595947
11.08524262,0.01062789917,2.084265747,9.639803925
11.09527362,0.01586700439,2.091151428,9.643097076
11.10530362,0.033230896,2.049388275,9.605076141
11.11533462,0.03876937866,2.045795746,9.579778748
11.12536562,0.03592529297,2.029329987,9.564660187
11.13539562,0.0260458374,2.007325745,9.534273376
11.14542662,0.04909790039,2.008972321,9.548942871
11.15545762,0.04864883423,1.954485626,9.487271118
11.16548762,0.05014572144,2.004032593,9.452094269
11.17551862,0.08113128662,1.970053253,9.498348083
11.18554962,0.05029541016,1.946402435,9.508377228
11.19557962,0.08038284302,1.983225861,9.410480804
11.20561062,0.1077758789,1.9481987,9.494905243
11.21564062,0.09639953613,1.938319244,9.474397888
11.22567162,0.1010398865,1.990560608,9.451196136
11.23570263,0.1287322998,1.957030334,9.524244232
11.24573263,0.1080752563,1.983225861,9.492210846
11.25576363,0.1317260742,1.986668701,9.497449951
11.26579463,0.1562750244,1.961520996,9.509874115
11.27582463,0.1246907043,1.996997223,9.456285553
11.28585562,0.139360199,2.006427612,9.526639252
